x_pos, y_pos, orientation, steering_angle, speed
13.0977, 18.2968, -0.169621, -0.627575, 3.86364
13.4871, 18.203, -0.47339, -0.621117, 3.88413
13.8361, 17.9743, -0.78589, -0.615732, 3.91642
14.1, 17.6722, -1.0859, -0.60875, 3.93681
14.2442, 17.2874, -1.39273, -0.603461, 3.95133
14.2671, 16.8949, -1.69092, -0.597475, 3.96594
14.2015, 16.517, -1.97459, -0.590119, 3.97761
14.028, 16.181, -2.25457, -0.581254, 3.99445
13.7253, 15.9197, -2.55731, -0.58171, 4.01277
13.3503, 15.7498, -2.858, -0.578206, 4.03726
12.9409, 15.712, 3.11726, -0.5783, 4.05586
12.5889, 15.6242, 2.96185, -0.582626, 4.06824
12.2192, 15.5666, 2.81224, -0.585458, 4.07473
11.8534, 15.7979, 2.47088, -0.595388, 4.10482
11.5833, 16.1232, 2.17414, -0.578518, 4.12191
11.3993, 16.5255, 1.91771, -0.539503, 4.13099
11.2933, 16.9507, 1.68872, -0.499522, 4.14031
11.3239, 17.3879, 1.44899, -0.476111, 4.14508
11.4228, 17.815, 1.21333, -0.468255, 4.14895
11.637, 18.2272, 0.963173, -0.469494, 4.17701
11.9542, 18.5568, 0.707595, -0.469805, 4.20843
12.3308, 18.7966, 0.455398, -0.471753, 4.2139
12.7632, 18.9576, 0.207214, -0.470724, 4.22322
13.2073, 19.0177, -0.0336255, -0.46992, 4.2328
13.6429, 18.9813, -0.266666, -0.466712, 4.23903
14.057, 18.8288, -0.507298, -0.464322, 4.25928
14.4273, 18.6114, -0.731805, -0.459637, 4.26656
14.7284, 18.3127, -0.95941, -0.456506, 4.27261
14.9642, 17.9532, -1.18242, -0.450397, 4.30334
15.1274, 17.5463, -1.39757, -0.443782, 4.31004
15.1666, 17.1207, -1.62431, -0.441578, 4.3337
15.1341, 16.6742, -1.84076, -0.43505, 4.36602
14.9704, 16.2607, -2.07126, -0.432452, 4.39594
14.7292, 15.8978, -2.29466, -0.428912, 4.404
14.4289, 15.5833, -2.50562, -0.422731, 4.41559
14.0509, 15.3709, -2.73228, -0.421404, 4.42431
13.6031, 15.2662, -2.97651, -0.424578, 4.45237
13.1709, 15.2723, 3.06613, -0.428721, 4.45182
12.7608, 15.1269, 3.034, -0.410073, 4.44877
12.3499, 14.9771, 3.01767, -0.392418, 4.46432
11.908, 14.847, 3.00424, -0.374419, 4.4876
11.4733, 14.7221, 2.99884, -0.358398, 4.50643
11.0163, 14.5778, 3.00916, -0.340676, 4.53564
10.5778, 14.4355, 3.02388, -0.325409, 4.55556
10.1212, 14.2918, 3.04366, -0.310703, 4.57755
9.68912, 14.1379, 3.07119, -0.297054, 4.59062
9.23984, 13.9893, 3.10011, -0.283663, 4.59698
8.79884, 13.8092, 3.14, -0.271615, 4.60628
8.34488, 13.623, -3.10132, -0.258683, 4.63444
7.87463, 13.6621, 3.03629, -0.257993, 4.65444
7.42662, 13.5204, 3.08276, -0.249191, 4.66125
6.98014, 13.3523, 3.13427, -0.240213, 4.66749
6.53293, 13.1763, -3.09826, -0.232466, 4.69175
6.06622, 13.1899, 3.05808, -0.231247, 4.70837
5.59869, 13.0308, 3.11801, -0.222443, 4.71132
5.15773, 12.8517, -3.10483, -0.214817, 4.72183
4.70127, 12.8897, 3.05899, -0.211859, 4.72545
4.23549, 12.7574, 3.12061, -0.204051, 4.72846
3.76285, 12.5795, -3.09517, -0.196561, 4.74286
3.26746, 12.6038, 3.07932, -0.193459, 4.76979
2.78163, 12.453, -3.13443, -0.187023, 4.79348
2.30001, 12.4787, 3.0464, -0.186134, 4.80381
1.80467, 12.3617, 3.11224, -0.181405, 4.83159
1.34453, 12.2077, -3.10416, -0.178175, 4.83646
0.864181, 12.2415, 3.07668, -0.176312, 4.83711
0.369139, 12.0997, -3.1372, -0.172903, 4.86723
-0.128798, 12.1477, 3.0485, -0.169296, 4.87482
-0.605361, 12.1319, 3.0956, -0.100748, 4.88537
-1.01333, 12.4382, 2.45399, -0.508087, 4.89453
-1.34465, 12.8273, 2.19535, -0.469174, 4.92119
-1.58786, 13.2807, 1.9694, -0.425324, 4.94906
-1.72472, 13.7994, 1.72911, -0.407084, 4.97217
-1.71723, 14.3457, 1.47179, -0.404105, 5.00463
-1.56184, 14.857, 1.20589, -0.40763, 5.01345
-1.27895, 15.3139, 0.934679, -0.413363, 5.02636
-0.910351, 15.704, 0.676432, -0.415773, 5.04289
-0.438083, 15.9747, 0.406666, -0.418526, 5.05806
0.104812, 16.1174, 0.131377, -0.421022, 5.09446
0.646824, 16.119, -0.136001, -0.421075, 5.11662
1.1672, 15.9892, -0.39825, -0.42103, 5.13889
1.66984, 15.7342, -0.652355, -0.414919, 5.17054
2.07847, 15.3785, -0.89836, -0.408871, 5.18836
2.42052, 14.9595, -1.12067, -0.398088, 5.21883
2.65501, 14.4828, -1.33544, -0.388134, 5.23279
2.77872, 13.9689, -1.54521, -0.37737, 5.25696
2.75905, 13.4242, -1.76969, -0.371237, 5.28218
2.64631, 12.924, -1.97533, -0.363516, 5.28422
2.40959, 12.45, -2.18727, -0.357094, 5.28826
2.0852, 12.0505, -2.39748, -0.353165, 5.31062
1.6653, 11.7262, -2.61427, -0.350101, 5.34183
1.1921, 11.4928, -2.82358, -0.346642, 5.34856
0.681498, 11.3814, -3.03923, -0.345892, 5.35435
0.141649, 11.4238, 3.0036, -0.351745, 5.37346
-0.37764, 11.3218, 2.95872, -0.338612, 5.3888
-0.909815, 11.2362, 2.926, -0.324183, 5.39373
-1.42958, 11.4157, 2.7416, -0.311007, 5.41054
-1.89429, 11.7372, 2.50734, -0.321402, 5.43486
-2.3251, 12.1012, 2.35685, -0.283588, 5.45812
-2.65527, 12.5704, 2.16309, -0.279975, 5.47322
-2.90191, 13.0909, 1.97394, -0.276439, 5.49751
-3.06766, 13.652, 1.78685, -0.277004, 5.50504
-3.14534, 14.2228, 1.6123, -0.272438, 5.52801
-3.07016, 14.8098, 1.40927, -0.27752, 5.55619
-2.88152, 15.3808, 1.20387, -0.281627, 5.5836
-2.61316, 15.9252, 1.0142, -0.282022, 5.60885
-2.24094, 16.389, 0.817645, -0.283926, 5.6216
-1.77973, 16.8051, 0.630447, -0.280943, 5.641
-1.25563, 17.1155, 0.439208, -0.280833, 5.67506
-0.701836, 17.3337, 0.259172, -0.277898, 5.69017
-0.111256, 17.4917, 0.101506, -0.269226, 5.70699
0.517602, 17.5341, -0.0618506, -0.260829, 5.74485
1.1302, 17.4848, -0.216, -0.252956, 5.75821
1.7377, 17.364, -0.351339, -0.240622, 5.77748
2.30738, 17.1676, -0.483203, -0.232243, 5.78867
2.84239, 16.8584, -0.625905, -0.224914, 5.81425
3.3354, 16.4903, -0.75595, -0.215374, 5.84706
3.78543, 16.084, -0.872886, -0.207225, 5.87418
4.19115, 15.6164, -0.983833, -0.196774, 5.88004
4.53635, 15.1296, -1.08718, -0.188229, 5.88519
4.82678, 14.5883, -1.18821, -0.177506, 5.88949
5.06486, 14.029, -1.28236, -0.168965, 5.89438
5.22469, 13.4363, -1.3839, -0.162215, 5.92472
5.35386, 12.8545, -1.46956, -0.156734, 5.93332
5.40569, 12.2701, -1.56456, -0.153731, 5.94573
5.41368, 11.6553, -1.65167, -0.148417, 5.97733
5.38177, 11.0533, -1.73194, -0.144052, 5.98716
5.27677, 10.4763, -1.82531, -0.144339, 5.99353
5.0966, 9.91095, -1.9264, -0.145166, 5.99605
4.89251, 9.33999, -2.00645, -0.13859, 6.00946
4.61149, 8.78596, -2.09325, -0.133423, 6.04087
4.28976, 8.2509, -2.17479, -0.128098, 6.07126
3.91072, 7.78236, -2.27268, -0.130905, 6.07743
3.50818, 7.32345, -2.35739, -0.12983, 6.09118
3.06576, 6.93248, -2.45392, -0.131869, 6.10642
2.58574, 6.57903, -2.54769, -0.131727, 6.1082
2.06567, 6.25253, -2.63696, -0.130847, 6.13589
1.51516, 6.00783, -2.73874, -0.132461, 6.15105
0.923332, 5.81, -2.84125, -0.133903, 6.17913
0.304422, 5.66323, -2.93665, -0.130825, 6.20663
-0.324827, 5.56838, -3.0256, -0.126218, 6.21531
-0.941353, 5.55883, -3.12839, -0.127226, 6.22834
-1.5715, 5.59639, 3.06125, -0.124695, 6.24805
-2.22047, 5.35815, -3.12518, -0.118766, 6.27369
-2.86879, 5.36423, 3.08579, -0.111391, 6.28648
-3.52767, 5.10708, -3.08655, -0.101995, 6.30784
-4.15947, 5.11227, 3.11895, -0.10178, 6.31995
-4.80164, 4.88283, -3.07139, -0.0979764, 6.34254
-5.45369, 4.85278, -3.13156, -0.0919615, 6.34515
-6.10214, 4.89814, 3.08086, -0.0888517, 6.34857
-6.76597, 4.69318, -3.10038, -0.0842363, 6.37763
-7.41665, 4.68101, 3.12542, -0.0825665, 6.40618
-8.0543, 4.44366, -3.05636, -0.0816684, 6.42495
-8.70746, 4.41724, -3.11267, -0.0774501, 6.42795
-9.36897, 4.4401, 3.11532, -0.0725695, 6.4365
-10.0382, 4.2243, -3.06404, -0.0713481, 6.45758
-10.697, 4.1971, -3.11344, -0.0680852, 6.46408
-11.365, 4.19603, 3.1276, -0.0624521, 6.48635
-12.0287, 3.95609, -3.0468, -0.0642053, 6.51916
-12.6961, 3.9225, -3.08835, -0.0576449, 6.5393
-13.3724, 3.9203, -3.13078, -0.0542645, 6.5537
-14.0475, 3.93605, 3.11342, -0.0517903, 6.58341
-14.7313, 3.7298, -3.06133, -0.0534389, 6.6026
-15.3875, 3.69228, -3.099, -0.0514446, 6.62993
-16.0404, 3.69079, -3.13254, -0.0457837, 6.63457
-16.7167, 3.70035, 3.12312, -0.0409747, 6.65557
-17.3805, 3.50327, -3.05122, -0.0434125, 6.66155
-18.061, 3.4545, -3.07948, -0.0405314, 6.68506
-18.7418, 3.43795, -3.10498, -0.0353286, 6.71631
-19.4241, 3.42318, -3.12699, -0.0318173, 6.72775
-20.1032, 3.42416, 3.13478, -0.0300089, 6.74253
-20.7868, 3.21327, -3.0357, -0.0343404, 6.77093
-21.4816, 3.16142, -3.05991, -0.0315627, 6.77705
-22.1678, 3.12697, -3.07907, -0.0265352, 6.78727
-22.8463, 3.1092, -3.09363, -0.0203564, 6.79375
-23.533, 3.09129, -3.10708, -0.0177748, 6.81853
-24.2179, 3.09043, -3.1163, -0.0125783, 6.84946
-24.8986, 3.07452, -3.12096, -0.00917397, 6.87173
-25.5896, 3.07028, -3.12634, -0.00744029, 6.89861
-26.3041, 3.07577, -3.12407, -0.00149093, 6.91279
-27.0102, 3.07427, -3.1201, 0.00250635, 6.937
-27.7274, 3.0704, -3.1151, 0.00520621, 6.95378
-28.4331, 3.05159, -3.10537, 0.00805482, 6.97507
-29.1315, 3.01767, -3.09067, 0.0124535, 7.00424
-29.8425, 2.97702, -3.07858, 0.013167, 7.0241
-30.5609, 2.92987, -3.06087, 0.017735, 7.03338
-31.2556, 2.86964, -3.045, 0.0186854, 7.04064
-31.9585, 2.80989, -3.02526, 0.0223327, 7.05315
-32.6591, 2.73947, -3.00562, 0.0250507, 7.08473
-33.3615, 2.63423, -2.98129, 0.0271105, 7.11616
-34.0568, 2.50505, -2.95008, 0.0317261, 7.12953
-34.76, 2.37478, -2.92032, 0.0350851, 7.15463
-35.462, 2.21213, -2.88367, 0.0401934, 7.16981
-36.1544, 2.01304, -2.84728, 0.0413, 7.18876
-36.8373, 1.78285, -2.80665, 0.0443966, 7.19909
-37.5385, 1.53346, -2.7672, 0.0474151, 7.23081
-38.2123, 1.2588, -2.72348, 0.0508914, 7.24166
-38.8925, 0.946048, -2.678, 0.0538778, 7.27302
-39.5398, 0.601826, -2.63129, 0.0541272, 7.29899
-40.187, 0.239027, -2.58669, 0.0547943, 7.32967
-40.8221, -0.165474, -2.54147, 0.0551214, 7.35506
-41.4317, -0.604335, -2.49302, 0.0565809, 7.37937
-42.0053, -1.06485, -2.43601, 0.0612246, 7.40842
-42.571, -1.56165, -2.38675, 0.0608522, 7.41131
-43.095, -2.09465, -2.33211, 0.0615812, 7.4208
-43.581, -2.65085, -2.27192, 0.0648262, 7.42102
-44.0313, -3.2281, -2.20905, 0.0674686, 7.4205
-44.4627, -3.83427, -2.14627, 0.0708921, 7.44574
-44.8487, -4.47814, -2.08237, 0.0732822, 7.45194
-45.1724, -5.14017, -2.00752, 0.0767638, 7.46638
-45.4753, -5.83565, -1.94164, 0.0778358, 7.49388
-45.7201, -6.55398, -1.87093, 0.0801807, 7.49804
-45.9066, -7.28625, -1.79375, 0.0829437, 7.52522
-46.0234, -8.04626, -1.71555, 0.0838122, 7.54432
-46.0988, -8.8075, -1.63616, 0.0870809, 7.57268
-46.1152, -9.59463, -1.56631, 0.083975, 7.60403
-46.0695, -10.3758, -1.4945, 0.0824675, 7.61512
-45.9779, -11.1487, -1.42377, 0.0815468, 7.63039
-45.804, -11.8934, -1.33875, 0.0840609, 7.63589
-45.6061, -12.6531, -1.27121, 0.0834994, 7.64793
-45.325, -13.3907, -1.19752, 0.0811488, 7.6648
-44.9802, -14.0911, -1.11713, 0.0802912, 7.68559
-44.5926, -14.7886, -1.04984, 0.0769419, 7.7026
-44.1647, -15.4604, -0.986196, 0.073453, 7.72729
-43.6792, -16.0955, -0.918032, 0.0707912, 7.76341
-43.1608, -16.7256, -0.863969, 0.0664436, 7.79116
-42.6262, -17.3442, -0.822478, 0.0610888, 7.80873
-42.0655, -17.9247, -0.772213, 0.0610416, 7.82339
-41.4629, -18.4848, -0.73355, 0.0538807, 7.83416
-40.8317, -18.9985, -0.685259, 0.0512158, 7.85024
-40.1769, -19.4887, -0.641719, 0.0485443, 7.85595
-39.4966, -19.9508, -0.601966, 0.0438072, 7.89023
-38.8059, -20.4038, -0.566263, 0.043265, 7.90264
